theme_name,discussion_id,challenge,confidence_score,justification,multi_theme_mapped
Poverty and Economic Barriers,5974,"She said Didi, we are poor people and will not be able to reach further and sent Bach out.",0.75,"The statement mentions 'we are poor people and will not be able to reach further' which clearly indicates poverty as a barrier to continuing education. The text contains 'Bach' which appears to be a personal name, triggering PII flag.",FALSE
Poverty and Economic Barriers,6004,Garib hone ke karan padhai beech mein hi chhod kar majduri kar rahe hain,1,"The statement mentions 'Garib hone ke karan' (due to being poor) and 'majduri kar rahe hain' (doing labor work), clearly indicating that poverty is forcing children to drop out of school and engage in labor to support their families.",FALSE
Unknown/Unclear,5979,School for children,0.6,"This phrase is too vague and incomplete to determine the specific educational barrier. It could refer to lack of schools, need for schools, or something else entirely, making reasonable interpretation impossible.",FALSE
Distance and Accessibility Issues,5979,Road line in the village,0.65,"The phrase 'Road line in the village' suggests poor road infrastructure, which relates to transportation and accessibility challenges that affect children's ability to reach school.",FALSE
School Infrastructure and Facility Issues,5979,Hospital and drinking water facility,0.7,"The mention of 'drinking water facility' directly relates to basic amenities lacking in schools, which is a school infrastructure issue as per the theme examples that include drinking water challenges.",FALSE
Poverty and Economic Barriers,21551,Children are missing out on education because they are busy with household chores.,0.85,"The statement describes children being forced to prioritize household work over education, which aligns with Theme 1's definition of how poverty forces children to prioritize work over education and how households depend on children's labor.",FALSE
Distance and Accessibility Issues,5983,She doesn't want to go to school because it is far away.,0.95,"The phrase 'it is far away' directly indicates that physical distance to school is the barrier preventing attendance, which is a core example of distance and accessibility challenges.",FALSE
Poverty and Economic Barriers,5997,"Due to poverty, people are depriving their children from education.",0.95,"The statement explicitly mentions 'poverty' as the reason children are being deprived of education, which directly aligns with economic barriers preventing school attendance.",FALSE
Parental Attitudes and Socio-Cultural Barriers,5997,"Daughters are being restricted from going anywhere, due to which daughters are deprived of education.",0.9,"The statement describes restrictions on girls' mobility ('restricted from going anywhere'), which reflects socio-cultural norms and parental attitudes that limit girls' educational opportunities.",FALSE
Unknown/Unclear,5986,The community shared the need to improve education.,0.85,This statement is too vague and does not specify any particular educational barrier. It only mentions a general need to improve education without identifying what specific challenge is preventing children from attending or continuing school.,FALSE
Poverty and Economic Barriers,5986,Economic constraints have hindered children's education.,0.95,"The phrase 'economic constraints' directly indicates financial hardship affecting children's education, which aligns with Theme 1 that covers how poverty and limited resources become barriers to schooling.",FALSE
Distance and Accessibility Issues,6056,Girls are not going to school because of bad roads.,0.95,"The statement explicitly mentions 'bad roads' as the reason preventing girls from attending school, which directly relates to poor infrastructure and physical accessibility barriers to education.",FALSE
Distance and Accessibility Issues,6044,Scholarships are also not available due to the school being far away.,0.85,The phrase 'school being far away' directly indicates a distance-related barrier to accessing education and its associated benefits like scholarships.,FALSE
Poverty and Economic Barriers,6044,We are poor people,0.95,The statement 'We are poor people' directly references poverty and economic hardship as a barrier affecting the family's ability to support education.,FALSE
Poverty and Economic Barriers,5969,"Some girls wanted to study, but due to lack of money they could not pursue further studies.",0.95,"The statement explicitly mentions 'lack of money' as the reason preventing girls from pursuing further studies, which directly aligns with financial hardship and inability to afford education.",FALSE
Early Marriage,5969,"Due to marriage at a young age, the in-laws did not consider it appropriate to educate her.",0.85,"The statement mentions 'marriage at a young age' as the primary barrier, with the in-laws' attitude being a consequence of early marriage that prevents the girl from continuing education.",TRUE
Parental Attitudes and Socio-Cultural Barriers,5969,"Due to marriage at a young age, the in-laws did not consider it appropriate to educate her.",0.85,The statement also reflects socio-cultural barriers where the in-laws' belief that education is not appropriate for a married girl represents family mindset and cultural norms that discourage girls' education.,TRUE
Unknown/Unclear,3169,The community is facing health problems.,0.75,Does not fit themes 1-10; does not specifically mention awareness or migration,FALSE
Parental Attitudes and Socio-Cultural Barriers,6059,Teenagers are unable to attend school due to household chores.,0.85,"The statement describes teenagers being kept from school to perform household chores, which reflects socio-cultural norms and family attitudes that prioritize domestic responsibilities over education.",FALSE
Distance and Accessibility Issues,6059,Children are unable to go to school and face a lot of difficulties and problems on the way because the school is far away.,0.95,"The challenge explicitly mentions 'school is far away' and difficulties faced 'on the way', which directly indicates physical distance and accessibility barriers to education.",FALSE
Poverty and Economic Barriers,6059,Children are unable to study due to poor conditions at home.,0.8,"The phrase 'poor conditions at home' indicates economic hardship and poverty affecting the household environment, which creates barriers to children's ability to study.",FALSE
Distance and Accessibility Issues,20983,"The Didi present at the Chaupal was telling that there is no Anganwadi in our locality and even if there is an Anganwadi, it is at a distance of 2 kilometers due to which children are not able to go to the Anganwadi.",0.95,"The challenge explicitly mentions that the Anganwadi is '2 kilometers' away and 'children are not able to go' due to this distance, which directly aligns with physical accessibility barriers.",FALSE
Distance and Accessibility Issues,6052,"The school is far away, which prevents girls from attending.",1,"The statement explicitly mentions 'school is far away' as the barrier preventing attendance, which directly aligns with physical distance challenges to accessing education.",FALSE
Poverty and Economic Barriers,6052,Poor economic conditions force families to prioritize other expenses over education.,1,"The phrase 'poor economic conditions' and 'prioritize other expenses over education' clearly indicates financial hardship preventing educational access, which is the core definition of poverty-related barriers.",FALSE
Legal Document linked Barriers,6122,Children cannot go to school because they do not have an Aadhaar card.,1,"The statement explicitly mentions that children cannot attend school due to lack of Aadhaar card, which is a legal document required for school enrollment.",FALSE
Parental Attitudes and Socio-Cultural Barriers,21540,"There is a societal concern that girls may elope after Intermediate, which discourages their further education.",0.95,"The challenge describes a cultural belief and societal concern about girls eloping that influences parental decisions to limit girls' education, which aligns with socio-cultural barriers affecting girls' schooling.",FALSE
Legal Document linked Barriers,6040,Children were not enrolled in school due to lack of Aadhaar card.,1,"The challenge explicitly mentions 'lack of Aadhaar card' preventing school enrollment, which directly matches the definition of legal documentation barriers that create administrative hurdles for education access.",FALSE
Poverty and Economic Barriers,6040,"Due to poor financial condition, girls are unable to pursue further studies.",1,"The phrase 'poor financial condition' directly indicates economic hardship as the barrier preventing girls from continuing their education, which aligns with the poverty and economic barriers theme.",FALSE
Poverty and Economic Barriers,6087,"Mother Urmila Kuar, father late Umesh Prasad, whose daughter Idu Kumari left her studies after 9th due to poverty.",1,"The challenge explicitly states 'left her studies after 9th due to poverty', directly linking dropout to financial hardship. Contains personal names of family members (Urmila Kuar, Umesh Prasad, Idu Kumari).",FALSE
Unknown/Unclear,21945,The child left school after studying 3 years and his name was removed from school.,0.9,"The statement only describes that the child dropped out after 3 years but provides no specific reason or barrier that caused the dropout, making it unclassifiable into any defined theme.",FALSE
School Infrastructure and Facility Issues,22263,"Children are unable to go to school due to lack of Aadhar card, date of birth and lack of cleanliness.",0.85,"The phrase 'lack of cleanliness' indicates poor sanitation and hygiene conditions in the school environment, which is an infrastructure-related barrier.",TRUE
Parental Attitudes and Socio-Cultural Barriers,6081,"Due to the large number of girls, attention is not paid to higher education, which results in lack of opportunities for them.",0.85,"The statement indicates that girls are not given attention for higher education, reflecting parental or societal attitudes that deprioritize girls' educational advancement based on gender.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6081,Studies are getting disrupted due to household work which is affecting the student's academic performance.,0.8,"The challenge describes how household work disrupts studies, which aligns with socio-cultural norms that prioritize domestic responsibilities over education, particularly affecting girls.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6081,Parents are not paying attention to the education of their girls.,0.95,"The statement directly mentions parental neglect of girls' education, which reflects parental attitudes and beliefs that undervalue educational opportunities for daughters.",FALSE
Unknown/Unclear,6079,The girl should study at least till class 12th.,0.85,This statement expresses an aspiration or recommendation rather than describing an actual educational barrier or challenge that prevents children from attending school.,FALSE
Unknown/Unclear,6079,A girl should not marry before the age of 18.,0.8,This is a normative statement about legal marriage age rather than describing a specific educational barrier. It does not indicate that early marriage is actually occurring or preventing education.,FALSE
Unknown/Unclear,6079,"By giving higher education to a girl, she becomes self-reliant and whenever she can, she can teach the children around her and also.",0.85,This statement describes the benefits and positive outcomes of educating girls rather than identifying a barrier or challenge that prevents girls from accessing education.,FALSE
Distance and Accessibility Issues,6082,Girls have to travel long distances to study in high school and 10+2 classes.,0.95,The statement explicitly mentions 'travel long distances' which directly relates to physical accessibility barriers preventing girls from attending higher education levels.,FALSE
Early Marriage,6082,Attempts are made to marry girls at an early age and some people even practice child marriage.,1,"The statement directly references 'early age' marriage and 'child marriage' practices, which are core indicators of Theme 3 that prevent girls from continuing education.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6082,"There is discrimination between boys and girls in education. Boys are sent abroad to study, meaning they receive higher education, while girls face educational discrimination.",0.9,"The statement describes 'discrimination between boys and girls' and differential treatment in educational opportunities based on gender, which reflects socio-cultural attitudes and parental beliefs that prioritize boys' education over girls'.",FALSE
Unknown/Unclear,3165,Another challenge they face is getting their children into high school.,0.75,Does not fit themes 1-10; does not specifically mention awareness or migration,FALSE
Legal Document linked Barriers,20983,There was a child who did not have an Aadhaar card,1,"The statement mentions a child lacking an 'Aadhaar card', which is a legal document required for school enrollment as defined in Theme 2.",FALSE
Safety Concerns,21534,Meera Devi expressed concerns about the safety of girls attending school.,0.95,"The statement explicitly mentions 'concerns about the safety of girls attending school,' which directly aligns with Theme 8. The mention of 'Meera Devi' is a personal name that constitutes PII.",FALSE
Early Marriage,6150,Child marriage should not be done.,0.95,"The statement directly addresses 'child marriage' as an issue that needs to be prevented, which aligns with Theme 3 that covers how early marriage affects children's education.",FALSE
Legal Document linked Barriers,21950,Aadhar card is not being generated due to lack of date of birth.,0.95,"The challenge explicitly mentions 'Aadhar card is not being generated' due to missing documentation (date of birth), which creates an administrative barrier to school enrollment.",FALSE
Unknown/Unclear,22264,We have to ensure that all children reach school and not a single child is left uneducated.,0.95,This is an aspirational or goal statement rather than describing a specific educational barrier. It expresses a desired outcome ('ensure all children reach school') but does not identify any actual challenge or obstacle preventing education.,FALSE
Poverty and Economic Barriers,6147,Even children go to work in Anganwadi.,0.75,"The phrase 'children go to work' indicates that children are engaged in labor activities instead of attending school, which aligns with economic pressures forcing children to prioritize work over education.",FALSE
Early Marriage,6154,Child marriage disrupts education,1,"The statement explicitly mentions 'child marriage' as the factor that 'disrupts education', which directly aligns with Theme 3 focusing on how early marriage prevents children from continuing their education.",FALSE
Poverty and Economic Barriers,6154,"Due to poor financial condition, studies are disrupted",1,"The phrase 'poor financial condition' directly indicates economic hardship as the barrier affecting education, which is the core definition of Theme 1 covering how poverty and financial constraints impact schooling.",FALSE
Unknown/Unclear,6181,There are some children who go to school and there are some children who do not go to school.,0.9,"This statement merely observes that some children attend school while others don't, but provides no information about the actual barrier or reason preventing attendance. Without identifying the underlying cause, no specific theme can be reasonably assigned.",FALSE
Legal Document linked Barriers,6181,The guardian of the children said that my daughter's date of birth is not being recorded.,0.85,"The phrase 'date of birth is not being recorded' indicates a documentation issue that creates administrative barriers to school enrollment, similar to missing Aadhaar cards or birth certificates mentioned in Theme 2 examples.",FALSE
Unknown/Unclear,6093,Whether the children study or not is due to my complaint.,0.9,The statement is unclear and does not specify what educational barrier is being described. The phrase 'due to my complaint' is ambiguous and does not relate to any identifiable educational challenge.,FALSE
Legal Document linked Barriers,22441,Admission after class 5th is not possible without Aadhar card.,1,"The statement explicitly mentions that admission is not possible without an Aadhar card, which is a legal documentation barrier preventing school enrollment.",FALSE
Early Marriage,6093,Child marriage should be stopped and emphasis should be given on education and higher education.,0.95,"The statement explicitly mentions 'child marriage' as a barrier that needs to be stopped to promote education and higher education, directly aligning with Theme 3 which addresses how early marriage prevents children from continuing their education.",FALSE
Poverty and Economic Barriers,22550,Children are unable to go to school due to poor conditions at home.,0.75,"The phrase 'poor conditions at home' indicates economic hardship and financial constraints that prevent children from attending school, which aligns with poverty-related barriers.",FALSE
Poverty and Economic Barriers,6182,Children cannot go to school due to household chores.,0.85,"The phrase 'cannot go to school due to household chores' indicates children are prioritizing domestic work over education, which matches Theme 1 example 'families force girls to engage in domestic work or labour, which hinders their education'.",FALSE
Parental Attitudes and Socio-Cultural Barriers,22619,Parents do not pay attention to their children's teachers.,0.75,"The statement describes parental attitudes and lack of engagement with teachers, reflecting a socio-cultural barrier where parents do not prioritize or value interaction with the education system.",FALSE
Teacher Capacity and Quality Issues,6171,Lack of experienced teachers in government schools.,0.95,The statement explicitly mentions 'lack of experienced teachers' which directly relates to teacher quality and capacity concerns in the education system.,FALSE
Teacher Capacity and Quality Issues,6171,Lack of education in government schools,0.75,"The phrase 'lack of education in government schools' refers to inadequate quality of teaching and learning outcomes, which falls under teacher capacity and educational quality issues.",FALSE
School Infrastructure and Facility Issues,6171,Children not getting government facilities on time.,0.85,"The statement mentions 'not getting government facilities on time' which aligns with delays in government schemes and inadequate provision of resources, a key aspect of infrastructure and facility gaps.",FALSE
Distance and Accessibility Issues,6195,Children of Dalit Tola in rural areas are unable to go to school daily and are unable to study on their own at home. There are no proper arrangements for studies in their villages. There is no proper road to go to school and there is difficulty in commuting during rains.,0.95,"The challenge explicitly mentions 'no proper road to go to school' and 'difficulty in commuting during rains', which are clear indicators of physical accessibility barriers due to poor infrastructure and weather conditions.",TRUE
School Infrastructure and Facility Issues,6195,Children of Dalit Tola in rural areas are unable to go to school daily and are unable to study on their own at home. There are no proper arrangements for studies in their villages. There is no proper road to go to school and there is difficulty in commuting during rains.,0.85,"The statement mentions 'no proper arrangements for studies in their villages', indicating systemic gaps in educational infrastructure and resources available to support children's learning.",TRUE
Unknown/Unclear,3152,The problem of children's school enrollment.,0.85,Vague starter phrase without specific details,FALSE
Legal Document linked Barriers,22662,A girl child is unable to enroll in school due to a discrepancy in her Aadhaar card.,1,"The challenge explicitly mentions 'discrepancy in her Aadhaar card' preventing school enrollment, which directly aligns with Theme 2 covering missing or incomplete legal documents creating administrative barriers to education.",FALSE
Legal Document linked Barriers,20989,8 children did not have Aadhar Cards,1,"The challenge explicitly mentions lack of Aadhaar cards, which is a legal documentation barrier preventing school enrollment as defined in Theme 2.",FALSE
Early Marriage,6212,"During education, women discussed about getting married after completing their intermediate and after 18 years, and I told them that only after completing their intermediate, they should be married.",0.75,"The statement discusses the practice of getting married after completing intermediate education at age 18, which relates to early marriage affecting educational continuation and completion.",FALSE
Poverty and Economic Barriers,6212,"Due to poverty, children do not go to school and there is no admission in the school in the name of Aadhar card etc. and due to dress, the women told that sir, my children are thrown out.",0.9,"The statement explicitly mentions 'poverty' as a reason children do not attend school and references inability to afford 'dress' (uniform), which are clear economic barriers to education.",TRUE
Legal Document linked Barriers,6212,"Due to poverty, children do not go to school and there is no admission in the school in the name of Aadhar card etc. and due to dress, the women told that sir, my children are thrown out.",0.85,"The statement mentions 'no admission in the school in the name of Aadhar card etc.', indicating that missing Aadhaar cards are preventing school enrollment.",TRUE
Distance and Accessibility Issues,6202,"After living far away, due to his poor condition, school was far away and financial condition was bad.",0.9,The challenge explicitly mentions 'school was far away' which directly indicates distance as a barrier to education.,TRUE
Poverty and Economic Barriers,6202,"After living far away, due to his poor condition, school was far away and financial condition was bad.",0.9,The statement mentions 'poor condition' and 'financial condition was bad' which clearly indicates economic hardship affecting education.,TRUE
School Infrastructure and Facility Issues,6209,There is no provision of pads in the school.,0.95,"The statement mentions 'no provision of pads in the school' which directly relates to lack of basic amenities and sanitary facilities in schools, a clear infrastructure gap.",FALSE
Distance and Accessibility Issues,6209,"Because the high school is far away, teenage girls do not attend school every day.",0.98,"The phrase 'high school is far away' explicitly indicates distance as the barrier preventing regular school attendance, which is the core definition of accessibility issues.",FALSE
Safety Concerns,6209,"Due to lack of a good environment, teenage girls do not go to study properly.",0.75,The phrase 'lack of a good environment' in the context of teenage girls not attending school suggests safety and security concerns that make families uncomfortable sending girls to school.,FALSE
Early Marriage,6209,How to stop early marriage,0.95,"The statement directly references 'early marriage' as a challenge that needs to be addressed, clearly fitting the early marriage theme that prevents girls from continuing education.",FALSE
Legal Document linked Barriers,6208,"There is a problem with Aadhar Card, not a single child has a birth certificate and there is no facility to sit there in this locality.",0.95,"The challenge explicitly mentions problems with Aadhaar Card and birth certificates, which are legal documents required for school enrollment.",TRUE
School Infrastructure and Facility Issues,6208,"There is a problem with Aadhar Card, not a single child has a birth certificate and there is no facility to sit there in this locality.",0.85,The phrase 'no facility to sit there in this locality' indicates inadequate school infrastructure and basic amenities for children.,TRUE
School Infrastructure and Facility Issues,6208,There are many government places but there is no response to take anything there.,0.75,"The statement describes lack of responsiveness from government facilities, which relates to delays and limited access to government schemes affecting education.",FALSE
Poverty and Economic Barriers,6200,Poverty affects children's education as families cannot afford educational resources.,0.95,"The statement explicitly mentions 'poverty' and 'cannot afford educational resources', which directly aligns with financial hardship preventing access to education.",FALSE
Early Marriage,6200,Child marriage is a significant challenge as it leads to early dropouts from school.,1,"The statement directly references 'child marriage' and its impact on 'early dropouts from school', which is the core definition of Theme 3.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6200,Discrimination between boys and girls hinders equal educational opportunities.,0.9,"The statement mentions 'discrimination between boys and girls', which reflects gender-based socio-cultural barriers that affect educational access and opportunities.",FALSE
Poverty and Economic Barriers,6218,The child was not going to school due to poverty.,1,"The statement explicitly mentions 'poverty' as the direct reason for the child not attending school, which aligns with Theme 1 describing how financial hardship leads to irregular attendance or dropouts.",FALSE
Poverty and Economic Barriers,6218,The child was working as a labourer due to poverty.,1,"The statement describes a child engaged in labor work due to 'poverty', which directly matches Theme 1's definition of how poverty forces children to prioritize work over education and how households depend on children's income.",FALSE
Unknown/Unclear,21542,"Children go to school every day, but very little information is available about it.",0.9,The statement is vague and unclear about what specific educational barrier exists. The phrase 'very little information is available about it' does not specify what information is lacking or how this affects education.,FALSE
Safety Concerns,6253,The girl is unable to go to school because she is beaten on the way.,0.95,"The statement explicitly mentions physical violence ('beaten on the way') that creates an unsafe environment for the girl traveling to school, which directly aligns with safety and security concerns affecting school attendance.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6276,There is a girl who wants to go to school but her mother is busy with household chores.,0.85,"The statement describes how household responsibilities and domestic work expectations prevent a girl from attending school, reflecting socio-cultural norms that prioritize domestic roles over education for girls.",FALSE
Poverty and Economic Barriers,6276,The economic situation is bad.,0.9,"The phrase 'economic situation is bad' directly indicates financial hardship affecting the family, which aligns with poverty and economic barriers to education.",FALSE
Poverty and Economic Barriers,6229,Due to the weak economic situation,0.95,"The phrase 'weak economic situation' directly indicates financial hardship affecting education, which aligns with poverty and economic barriers.",FALSE
Legal Document linked Barriers,6229,Admission is not being given in school due to lack of Aadhar card,1,"The statement explicitly mentions 'lack of Aadhar card' preventing school admission, which is a clear example of missing legal documentation creating enrollment barriers.",FALSE
Poverty and Economic Barriers,6233,Economic tension,0.85,The phrase 'Economic tension' directly refers to financial hardship and economic constraints that affect families' ability to support children's education.,FALSE
Parental Attitudes and Socio-Cultural Barriers,20989,The parents of the children did not want to educate them,0.95,"The challenge describes parental unwillingness to educate children, which reflects parental attitudes and beliefs that discourage schooling as defined in Theme 5.",FALSE
Legal Document linked Barriers,6293,The TC of a girl was lost and she is not getting enrolled in the school.,0.95,"The challenge mentions that a TC (Transfer Certificate) was lost, which is a legal document required for school enrollment. This directly prevents the girl from getting enrolled, fitting the definition of documentation barriers.",FALSE
Early Marriage,6279,Child marriage was discussed as a challenge to children's education.,1,"The statement explicitly mentions 'child marriage' as a challenge to education, which directly aligns with Theme 3 that addresses how early marriage prevents children from continuing their education.",FALSE
Parental Attitudes and Socio-Cultural Barriers,21534,"People question the value of education for girls, asking what they will do after studying.",0.9,"The challenge reflects cultural beliefs and attitudes that question the necessity of girls' education, which is a core element of Theme 5 addressing parental and socio-cultural barriers.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6308,"In this community, parents say that when we send our children to school, they do not go to school but go out of the school and roam around.",0.75,"This reflects parental concerns about children's behavior and lack of supervision, which creates fear and reluctance among parents to send children to school. This aligns with socio-cultural barriers where parental attitudes and concerns influence educational decisions.",FALSE
Poverty and Economic Barriers,6308,"The economic situation here is not good, in fact, people are getting their children married leaving their education incomplete.",0.85,"The statement explicitly mentions 'economic situation here is not good' as the primary driver, linking financial hardship to educational decisions and early marriage as a consequence of poverty.",TRUE
Early Marriage,6308,"The economic situation here is not good, in fact, people are getting their children married leaving their education incomplete.",0.9,"The statement directly mentions 'getting their children married leaving their education incomplete,' which clearly indicates early marriage as a barrier preventing children from continuing their education.",TRUE
Distance and Accessibility Issues,21950,"Due to the school being far away, children face a lot of problems in going to school. There is a lot of difficulty in going to school as there is no road also.",1,"The challenge mentions 'school being far away' and 'no road', which are clear indicators of physical distance and poor infrastructure making it difficult for children to reach school.",FALSE
Distance and Accessibility Issues,6333,"Due to the school being far away, girls are facing difficulty in going to school.",0.95,"The challenge explicitly mentions 'school being far away' and difficulty in going to school, which directly aligns with distance and accessibility barriers to education.",FALSE
Poverty and Economic Barriers,6269,Parents lack financial resources to provide higher education to girls.,0.95,"The phrase 'lack financial resources' directly indicates economic hardship preventing access to higher education, which is a core example of poverty-related barriers to schooling.",FALSE
Safety Concerns,6269,Fear of girls being molested or kidnapped.,1,"The statement explicitly mentions 'molested or kidnapped,' which are direct safety and security threats that affect families' decisions about sending girls to school.",FALSE
School Infrastructure and Facility Issues,6269,Large number of girls in the school.,0.75,A 'large number of girls' suggests overcrowding and inadequate capacity in the school infrastructure to accommodate all students effectively.,FALSE
Parental Attitudes and Socio-Cultural Barriers,6269,Household work being prioritized over education.,0.9,"The phrase 'prioritized over education' reflects parental beliefs and cultural norms that value domestic roles for girls more than schooling, which is a socio-cultural barrier.",FALSE
Distance and Accessibility Issues,6341,"Due to the presence of Bihta Beta College and Danapur College, the girl is unable to go to college every day. This is a problem.",0.85,"The statement indicates that the girl is unable to attend college every day due to the location of colleges (Bihta Beta College and Danapur College), suggesting distance or accessibility challenges in reaching educational institutions.",FALSE
Distance and Accessibility Issues,6341,It is very important to have a school in our village.,0.9,"The statement emphasizes the need for a school in the village, implying that the absence of a nearby school creates distance and accessibility barriers for children's education.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6321,Parents today are making their children do less household work but are sending them to school less in terms of education.,0.75,"The statement describes parental attitudes and decisions regarding children's education, indicating that parents are choosing to send children to school less despite reducing household work expectations, reflecting a mindset or belief system about education.",FALSE
Safety Concerns,6321,"A meeting was held in the community there and when the girl was born, it was told to the people that due to the teasing, we send the girl to a lot of commerce.",0.65,"The statement mentions 'teasing' as a reason affecting where girls are sent for education, which relates to harassment and safety concerns that influence educational decisions for girls.",FALSE
Unknown/Unclear,6323,Make sure to educate your boy or girl till at least 12 days.,0.9,The phrase 'till at least 12 days' appears to be a translation error or unclear statement that does not convey a meaningful educational barrier. The intended meaning cannot be reasonably interpreted.,FALSE
School Infrastructure and Facility Issues,6323,The food arrangements at the school there are not proper.,0.95,"The statement mentions improper food arrangements at school, which relates to inadequate provision of mid-day meals or basic amenities, falling under school infrastructure and facility gaps.",FALSE
School Infrastructure and Facility Issues,6351,"Mukesh Kumar says that he passed 8th class from a private school and left his studies, but he is not getting any ticket from the school.",0.75,"The statement mentions 'not getting any ticket from the school' which refers to administrative documentation issues (likely a transfer certificate or school leaving certificate), representing a systemic gap in school services. The mention of 'Mukesh Kumar' is personal identifiable information.",FALSE
Poverty and Economic Barriers,6319,Workload due to economic condition caused by poverty,0.95,"The challenge explicitly mentions 'economic condition caused by poverty' and 'workload', indicating that financial hardship forces children to prioritize work over education, which is a core indicator of Theme 1.",FALSE
Distance and Accessibility Issues,22550,Children are unable to attend school because the school is far away.,1,The statement explicitly mentions 'school is far away' which directly indicates distance as a barrier to school attendance.,FALSE
Parental Attitudes and Socio-Cultural Barriers,6319,Even a girl's elopement hinders education,0.85,"The phrase 'girl's elopement hinders education' relates to parental fears about girls running away, which aligns with the Theme 5 example: 'Girls leave their studies and run away. Due to this fear, parents are unable to provide higher education to their daughters.'",FALSE
Poverty and Economic Barriers,6319,"Household chores put a lot of burden on children, leaving no time to concentrate on studies",0.9,"The challenge describes how 'household chores put a lot of burden on children' preventing them from studying, which matches Theme 1's definition of families forcing children to prioritize domestic work over education due to economic constraints.",FALSE
Parental Attitudes and Socio-Cultural Barriers,20989,"The child did not go to study on his own, hence his parents did not send him to school",0.85,"The challenge indicates that parents chose not to send the child to school based on the child's lack of initiative, reflecting parental decision-making and attitudes toward education as defined in Theme 5.",FALSE
Unknown/Unclear,21542,"Some children do not go to school every day, and some children do not go to school at all.",0.95,This statement describes irregular attendance and dropout but does not specify any reason or barrier causing this issue. It uses non-specific phrasing similar to 'various reasons' without identifying the actual educational challenge.,FALSE
School Infrastructure and Facility Issues,6316,I don't get grinding in school,0.6,The term 'grinding' likely refers to a missing facility or service in school (possibly grain grinding or food preparation facility). This represents a gap in school amenities or government scheme implementation.,FALSE
School Infrastructure and Facility Issues,6381,Scholarships are not being given on time and children are not getting bicycles.,0.85,"The statement mentions delays in government schemes (scholarships and bicycles not being provided on time), which falls under systemic gaps in accessing government benefits that affect schooling.",FALSE
School Infrastructure and Facility Issues,6316,I can't find food,0.65,"The statement 'I can't find food' in an educational context most likely refers to mid-day meals not being provided properly in school, which is a school facility and government scheme implementation issue.",FALSE
Early Marriage,6381,"There should be no child marriage, girls should be married after passing the Barhi.",0.9,"The statement directly addresses child marriage as a barrier, advocating that girls should complete their education (passing Barhi) before marriage, indicating early marriage prevents educational completion.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6378,Discrimination between boys and girls is a significant challenge in the community.,0.95,"The statement explicitly mentions 'discrimination between boys and girls,' which reflects gender-based social and cultural norms that affect educational access and opportunities.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6378,The runaway of women and girls is another issue that affects the community.,0.85,"This relates to parental fears about girls running away, which is mentioned in Theme 5 examples such as 'Girls leave their studies and run away. Due to this fear, parents are unable to provide higher education to their daughters.'",FALSE
Poverty and Economic Barriers,6378,Poverty is a major challenge that hinders children's education.,1,"The statement directly mentions 'poverty' as a barrier to children's education, which is the core definition of Theme 1 focusing on financial hardship affecting schooling.",FALSE
Early Marriage,6427,The community discussed the issue of child marriage and its impact on girls' education.,1,"The statement explicitly mentions 'child marriage' and its direct 'impact on girls' education', which aligns with Theme 3 that addresses how early marriage prevents girls from continuing their education.",FALSE
Unknown/Unclear,6378,Children not attending school is a problem that needs to be addressed.,0.9,"This statement describes a symptom (non-attendance) but does not specify any underlying cause or barrier, making it impossible to classify into a specific theme without additional context.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6427,The dowry system was also discussed as a challenge that affects girls' education and well-being.,1,"The statement references 'dowry system' as a barrier to girls' education, which is a socio-cultural belief explicitly mentioned in Theme 5 examples where communities believe educating girls increases dowry demands.",FALSE
Parental Attitudes and Socio-Cultural Barriers,6427,Social pressure was identified as another challenge that can prevent girls from pursuing their education.,1,"The phrase 'social pressure' preventing girls from education is directly listed as an example in Theme 5, representing socio-cultural norms that discourage girls' schooling.",FALSE
Distance and Accessibility Issues,6395,The school is far from the village.,1,"The statement explicitly mentions 'school is far from the village', which directly indicates a distance-related barrier preventing children from accessing education.",FALSE
Poverty and Economic Barriers,6395,"Due to poor financial condition, they work as labourers and earn their living from that.",0.95,The phrase 'poor financial condition' and 'work as labourers' clearly indicates economic hardship forcing children or families to prioritize work over education for survival.,FALSE
Teacher Capacity and Quality Issues,6372,"Teachers do not teach, they just keep talking.",0.95,"The statement directly addresses teaching quality issues, specifically mentioning that 'teachers do not teach' which indicates gaps in pedagogy and teaching effectiveness.",FALSE
Teacher Capacity and Quality Issues,6372,Teachers do not pay attention if the child plays by copying from the bar.,0.85,"The phrase 'teachers do not pay attention' directly indicates teacher quality and engagement issues, which falls under teacher capacity concerns.",FALSE
Poverty and Economic Barriers,6372,"If there is poverty and no support, then money does not come.",0.9,"The statement explicitly mentions 'poverty' and lack of financial resources ('money does not come'), which are core indicators of economic barriers to education.",FALSE
