Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,34098 | Aadhar Card issuance is another challenge faced by the community. | 0.8127
,,,,,,34101 | Aadhar Improvement | 0.7322
,,,,,,34106 | There were many children whose Aadhar card was not made. | 0.8898
,,,,,,34116 | Aadhar card | 0.8735
,,,,,,34122 | Names of some children are not on the ration card. | 0.5242
,,,,,,34123 | No Aadhar card | 0.8703
,,,,,,34123 | Trouble in making Aadhar card | 0.8389
,,,,,,34127 | There is a mistake in the Aadhar card | 0.8478
,,,,,,34158 | Aadhar Card | 0.8735
,,,,,,34171 | The community faces challenges in obtaining birth certificates for children. | 0.3589
,,,,,,34173 | The community is facing issues with making Aadhar cards. | 0.8789
,,,,,,"34188 | Due to the negligence of the parents of the children, the Aadhar card of the children is not made, the Aadhar card is not updated, due to their negligence the parents are not paying attention to the education of their children and are not sending their children to school on time. | 0.7922"
,,,,,,34189 | A community member is facing issues in getting her daughter's Aadhaar card made at the Aadhaar centre. | 0.6996
,,,,,,34202 | Many sisters will get their Aadhar cards made and get their names changed. | 0.7258
,,,,,,34204 | Problems with names in Aadhar cards are causing difficulties. | 0.7742
,,,,,,34211 | Making Aadhar | 0.7389
,,,,,,34223 | There is a boy who is 20 years old but his Aadhar card is not being made. | 0.8718
,,,,,,34245 | Some children were found to have problems related to their Aadhar card. | 0.8784
,,,,,,34249 | Some people do not have ration cards. | 0.4522
,,,,,,34255 | Five children did not have Aadhar cards. | 0.748
,,,,,,34259 | There is a 20 year old boy whose Aadhar card is not being made. | 0.8472
,,,,,,34274 | Aadhar card is wrong | 0.8562
,,,,,,34275 | The Aadhar card of 9 children in Kola has not been made | 0.8413
,,,,,,34282 | No Aadhar card | 0.8703
,,,,,,34282 | Trouble in making Aadhar card | 0.8389
,,,,,,34307 | There is a dispute between the teacher and Bhagwat regarding the nomination of the child. | 0.3086
,,,,,,34311 | There is no Aadhar card | 0.8624
,,,,,,34312 | Some people do not have Aadhar card | 0.8653
,,,,,,34324 | Don't have Aadhar card | 0.8464
,,,,,,34326 | Some people do not have ration cards. | 0.4522
,,,,,,34335 | Aadhar card is wrong | 0.8562
,,,,,,34338 | A girl has an 8-year-old child and does not have an Aadhar card. | 0.8087
,,,,,,34351 | Some people do not have ration cards. | 0.4522
,,,,,,34364 | The community faces challenges in making Aadhar cards. | 0.8405
,,,,,,34366 | Some people do not have ration cards. | 0.4522
,,,,,,34373 | There are issues with Aadhar card corrections that need to be addressed. | 0.8476
,,,,,,34389 | The community faces challenges in making Aadhar cards. | 0.8405
,,,,,,34438 | 4 to 5 children face the problem of not making Aadhar card. | 0.8452
,,,,,,34446 | 4 to 5 children face the problem of not being able to make Aadhar card. | 0.8582
,,,,,,34455 | Problems related to Aadhaar card for children | 0.8452
,,,,,,34462 | The child is not receiving government benefits due to a wrong name in his Aadhar card. | 0.7611
,,,,,,"34463 | There is a problem with the Aadhar card creation process, which is a significant issue for the community. | 0.8777"
,,,,,,34484 | The community faces difficulties due to Aadhar Card issues. | 0.8009
,,,,,,34491 | Discussion on making Aadhar card | 0.8309
,,,,,,34500 | Discussed about making Aadhar card | 0.8497
,,,,,,34501 | Aadhar cards of the children were not made. | 0.8311
,,,,,,34508 | The community faces challenges in making birth certificates and obtaining Aadhar cards for children. | 0.8121
,,,,,,34515 | Information on making Jodha certificate and making Aadhar card was discussed. | 0.6525
,,,,,,"34517 | There is problem in getting Aadhar card made, one has to go and money is demanded | 0.821"
,,,,,,34538 | The children did not have Aadhar cards. | 0.784
,,,,,,34567 | Unable to make Aadhar card for children | 0.881
,,,,,,34599 | The community faces challenges in obtaining Aadhaar Cards for children. | 0.8259
,,,,,,34628 | The community shared that there's an issue with higher age being recorded in the Aadhar card. | 0.7699
,,,,,,"34659 | The Didi of the community decided that we went to get the Aadhar card updated, got it updated but it did not get updated. When I tried to get the Aadhar card, my Aadhar card was not issued. | 0.6711"
,,,,,,34663 | Aadhar card problem | 0.8755
,,,,,,34664 | How to get Aadhar card quickly | 0.7297
,,,,,,34685 | The parents decided to get their children's Aadhaar cards made. | 0.7251
,,,,,,34702 | Aadhar card by going to the block | 0.7591
,,,,,,34713 | Reasons for incorrect name in Aadhaar card | 0.6996
,,,,,,34720 | Didi was explained about making Aadhar card | 0.7625
,,,,,,"34721 | Parents are facing a lot of trouble in getting the Aadhar card made and the biggest problem is in getting the Aadhar card corrected. They are running again and again, money is also being spent but nothing is getting improved. | 0.7969"
,,,,,,34726 | There is a problem with the Aadhar card of some children here. | 0.9163
,,,,,,34749 | This community faces challenges in obtaining Aadhaar cards and birth certificates for children. | 0.8018
,,,,,,"34776 | The community is facing issues with obtaining birth certificates, which is hindering the creation of Aadhaar cards for the children. | 0.7808"
,,,,,,34777 | The Aadhar card of the children has not been made. | 0.8284
,,,,,,"34777 | Due to the negligence of the parents of the children, the Aadhar card of 15-16 year old girls has not been made. | 0.7913"
,,,,,,34784 | There is a problem with the Aadhar card not being made yet. | 0.8943
,,,,,,34786 | Some people do not have Aadhar card. | 0.8729
,,,,,,"34798 | The Aadhar cards of many children are not being made by the block, due to which there are many difficulties in the admission of children. | 0.847"
,,,,,,"34802 | A boy has a problem that his date of birth on his Aadhar card is wrong and he is not able to concentrate on his studies, he keeps playing and roaming around the whole day. | 0.7455"
,,,,,,34816 | Some people do not have Aadhar card. | 0.8729
,,,,,,34833 | There are many people left whose Aadhar card has not been made yet. | 0.8181
,,,,,,34868 | Do not have Aadhar card | 0.8406
,,,,,,34905 | Parents of children will get Aadhar card made. | 0.8309
,,,,,,34927 | The community faces a challenge where children are not being enrolled in Anganwadi due to the lack of Aadhar cards. | 0.8074
,,,,,,34935 | Could not get Aadhar card made due to problem in making it. | 0.8827
,,,,,,34948 | It was revealed by the community that 3 children do not have Aadhar cards due to which they are not able to avail any government facilities. | 0.8375
,,,,,,34960 | Making Aadhar card for Sajna Khatoons and Sabira Khatoons | 0.6874
,,,,,,34969 | The community faces challenges related to Aadhar card | 0.8738
,,,,,,34986 | The community faces issues with Aadhar card creation and updates for their children. | 0.8737
,,,,,,34988 | The community faces issues with obtaining Aadhar cards for children. | 0.9028
,,,,,,35029 | Aadhar card problem | 0.8755
,,,,,,35043 | Challenge to improve Surendra Prasad's Aadhar card | 0.7418
,,,,,,35046 | Four boys do not have Aadhar cards. | 0.777
,,,,,,35056 | Discussion took place on the child's Aadhaar card | 0.7663
,,,,,,"35062 | The names of these two children are wrong in their Aadhar cards, due to which they are facing problems in school. I told them to go to the block and get their Aadhar cards corrected. | 0.7386"
,,,,,,35074 | The community faces challenges regarding not having Aadhar cards. | 0.8699
,,,,,,35089 | Neetu Kumari's Aadhar card name is wrong | 0.7279
,,,,,,"35095 | The three children of the sister-in-law did not get their Aadhar cards made, due to which they were not given admission. | 0.6994"
,,,,,,"35096 | The name of a child is wrong in the date of birth, hence his Aadhar card has not been made. | 0.8524"
,,,,,,35105 | Correction in name in Aadhar card. | 0.7784
,,,,,,35123 | Aadhar card of children is not made | 0.9164
,,,,,,"35126 | Making Aadhar cards is a problem for the community, as it is not possible in the village and requires traveling to the block or district. | 0.8434"
,,,,,,"35148 | Due to lack of information, the guardian there could not get the Aadhar card made. | 0.8138"
,,,,,,35168 | Reasons for not making Aadhar | 0.7835
,,,,,,35171 | Correction of errors in Aadhar card | 0.7586
,,,,,,35184 | Communities told that children do not have Aadhar cards | 0.8856
,,,,,,35188 | The community faces challenges in obtaining Aadhar cards for children. | 0.8945
,,,,,,35194 | This community faces problems in getting Aadhar card and birth certificate for children. | 0.8625
,,,,,,35199 | The community faces issues with obtaining Aadhaar cards for children. | 0.828
,,,,,,35206 | The community faces issues with obtaining aadhar cards for children. | 0.9028
,,,,,,35207 | This community faces challenges in obtaining Aadhaar cards and birth certificates for children. | 0.8018
,,,,,,35211 | The community faces issues with obtaining Aadhaar cards for children. | 0.828
,,,,,,35212 | Unji Mata's Jayanti Kunwar is facing problems due to not having Aadhar card for 10 years. | 0.629
,,,,,,35218 | The community faces challenges with obtaining Aadhaar cards for children. | 0.8214
,,,,,,35224 | The community faces issues with obtaining Aadhaar cards for children. | 0.828
,,,,,,35268 | People are not able to find the right centre to get their Aadhar card made. | 0.8215
,,,,,,35271 | Facing problems in making Aadhar card | 0.8437
,,,,,,"35275 | There is a problem with the Aadhar card of small children, there are spelling mistakes in them. | 0.8747"
,,,,,,35287 | Aadhar Card of two children has not been made | 0.8904
,,,,,,35323 | The school is demanding a caste certificate for admission | 0.3755
,,,,,,35337 | Reasons for getting Aadhar card corrected | 0.807
,,,,,,35340 | This community faces difficulties in obtaining Aadhar cards and birth certificates for children. | 0.8407
,,,,,,35375 | During the discussion we came to know that even the Aadhar card has not been made. | 0.8421
,,,,,,"35379 | The community faces challenges in obtaining birth certificates and Aadhaar cards for their children, which hinders their access to education and other benefits. | 0.7782"
,,,,,,35380 | The community shared the challenges related to children not having Aadhaar cards. | 0.8393
,,,,,,35383 | The information given in the Aadhar card of the children is wrong. | 0.7843
,,,,,,35391 | The community is facing problems in getting Aadhaar cards made for children. | 0.8251
,,,,,,35398 | The children do not have Aadhar cards. | 0.8054
,,,,,,35399 | Many boys and girls are facing problems with their Aadhaar card. | 0.8246
,,,,,,35400 | A challenge related to children's Aadhaar cards was discussed. | 0.8156
,,,,,,35416 | The community faces challenges in obtaining Aadhaar cards for children. | 0.8259
,,,,,,35419 | There are many difficulties in getting Aadhar card and Janampatri made. | 0.7832
,,,,,,35459 | Discussion was held on making Aadhar cards for children. | 0.8281
,,,,,,"35481 | There are some children whose Aadhar card has not been made yet, even though they are 11 years old. | 0.8755"
,,,,,,"35481 | There are some children whose name in the date of birth is wrong, due to which the Aadhar card is not being made. | 0.8329"
,,,,,,35495 | Aadhar Card | 0.8735
,,,,,,35518 | Aadhar Card issues | 0.8743
,,,,,,35555 | There was a problem in getting the Aadhar card corrected. | 0.8515
,,,,,,35569 | Some people do not have ration cards. | 0.4522
,,,,,,35579 | I am not able to make Aadhar card | 0.8144
,,,,,,35580 | Some people do not have ration cards. | 0.4522
,,,,,,35584 | Shivam ji does not have an Aadhar card | 0.6986
,,,,,,35585 | The community discussed the issue of making Aadhar cards for children | 0.8925
,,,,,,35591 | There was a discussion on making Aadhar cards and enrolling children in the school. | 0.8011
,,,,,,35600 | Parents of children told about Aadhar card | 0.8516
,,,,,,35611 | Aadhar card is not being made | 0.8364
,,,,,,35631 | One child did not have an Aadhar card. | 0.8454
,,,,,,35646 | Anjali Kumari has a challenge related to Aadhar card. | 0.7243
,,,,,,"35652 | The community faces challenges in obtaining Aadhar cards, which affects their ability to access certain services, including potentially education. | 0.7878"
,,,,,,35691 | Manipulation of name in Aadhar card is a problem. | 0.8056
,,,,,,35699 | Mannat Khatoon was asked to get her caste residential certificate made and community videos were prepared to force her admission in the ninth class. | 0.2654
,,,,,,"35703 | The Aadhar card of the community is also wrong, due to which the Aadhar card of their child is not being made. | 0.8099"
,,,,,,35714 | Most of the children at Tal do not have Aadhar cards. | 0.8115
,,,,,,35717 | A child was found who is 13-14 years old but his Aadhaar card is not made and neither his parents have Aadhaar. | 0.7915
,,,,,,35720 | Janamparya: I have not been able to get my Qadar card made because my PTR has not been made. | 0.4039
,,,,,,"35735 | Problem with Aadhar card, calling and explaining to people | 0.7817"
,,,,,,35746 | Could not get Aadhar card made due to problem in making it. | 0.8827
,,,,,,35755 | The community is facing issues with corrections in Aadhar cards. | 0.8035
,,,,,,35789 | The name of this child could not be registered because he did not have an Aadhar card. | 0.8203
,,,,,,35796 | Name is not linked to Aadhar and ration card | 0.8029
,,,,,,"35821 | A teenager was saying that we have passed the eighth standard but due to wrong name in the Aadhar card, our name is not being registered in the next and ninth standard. | 0.6627"
,,,,,,35827 | The community faces issues with obtaining Aadhar cards for children. | 0.9028
,,,,,,35861 | Aadhar Card and Birth Certificate linkage problems are causing difficulties for the community. | 0.7175
,,,,,,35862 | Raunak Ansari did not have an Aadhar Card | 0.7216
,,,,,,35866 | The child's Aadhar card is wrong and needs to be corrected. | 0.8477
,,,,,,35871 | Enrollment by doing Aadhar card correction | 0.7458
,,,,,,35889 | Children are facing a lot of difficulties due to errors in their Aadhaar cards. | 0.743
,,,,,,"35916 | Yasmin Khatoon said that she has four daughters and their Aadhar cards have been made incorrectly, due to which they are not getting admission in school. | 0.6932"
,,,,,,35918 | There was some problem with Aadhar card. | 0.8725
,,,,,,"35926 | The member was telling that my son's finger is in the Aadhar card but the name given is of a girl, how will it be changed, sister? | 0.7498"
,,,,,,35950 | There is a problem with the Aadhar card and the child | 0.8915
,,,,,,35961 | There was a problem in getting the Aadhar card made due to which the enrolment of children was stopped. | 0.8832
,,,,,,35984 | Some children also have problems related to their Aadhar card. | 0.8931
,,,,,,36006 | Aadhar card problem | 0.8755
,,,,,,36032 | The name of the children was wrong in the Aadhar card | 0.8496
,,,,,,36089 | There are issues with incorrect names in Aadhar cards. | 0.8331
,,,,,,36100 | Due to name mistake in Aadhar card | 0.8007
,,,,,,36113 | The community is facing a challenge with making Aadhar cards for their children. | 0.8503
,,,,,,36113 | The community is also facing an issue with ration not being available. | 0.2594
,,,,,,36114 | Aadhar card of children is not made. | 0.8772
,,,,,,36159 | The community is facing challenges in getting Aadhaar cards made for their children. | 0.8077
,,,,,,36205 | In the words of getting Aadhar card corrected | 0.8519
,,,,,,36226 | The child is not getting government benefits due to the wrong name in the Aadhar card. | 0.7931
,,,,,,36258 | There are many problems in admission due to mistakes in Aadhar card. | 0.7943
,,,,,,36264 | Is any government work being hampered due to wrong name of the child in the Aadhar card? | 0.7734
,,,,,,36268 | Parents said that Aadhar cards of their children are not being made. | 0.8527
,,,,,,36283 | The community informed that Aadhaar cards of the children need to be made and corrections need to be made in the Aadhaar cards. | 0.7404
,,,,,,36284 | Most of the children there did not have Aadhar cards. | 0.854
,,,,,,36295 | The age of three children has been given higher in the Aadhar card due to which they are not getting enrolled. | 0.7829
,,,,,,"36303 | Aadhar card is not being made for the community members, which is causing issues with identification and access to services. | 0.8252"
,,,,,,"36324 | A child has a different name in the certificate and a different name in the Aadhar card, due to which he was not enrolled in 9 | 0.7914"
,,,,,,36384 | This community faces problems in getting birth certificates and Aadhar cards for children. | 0.846
,,,,,,"36406 | There is a problem in making Aadhar cards, which is a necessary document for various educational and social benefits. | 0.8544"
,,,,,,36424 | The community shared challenges regarding Aadhar card. | 0.8606
,,,,,,36435 | The community faces issues with incorrect names on Aadhaar cards. | 0.7118
,,,,,,36449 | Aadhar card problem | 0.8755
,,,,,,36452 | I am facing problem in getting my Aadhar card made. | 0.8261
,,,,,,36492 | Some children do not have Aadhar card and hence their names are not in the ration card. | 0.8595
,,,,,,36552 | Participate in discussions related to Aadhaar Card | 0.6178
,,,,,,"36609 | Due to error in Aadhar card, child's name is not being written. | 0.821"
,,,,,,36620 | Could not get Aadhar card made due to problem in making it. | 0.8827
,,,,,,36630 | The community faces issues with obtaining Aadhar cards for children. | 0.9028
,,,,,,36643 | Aadhar card problem | 0.8755
,,,,,,36654 | One child did not have Aadhar card. | 0.8449
,,,,,,"36657 | A woman, tell me that I am a widow and I have five children, they do not have Aadhar card due to which they are not able to get admission in school, I do not have enough money to get it made by consulting someone, when I ask someone then they say first give me so much money then we will get it made. | 0.7555"
,,,,,,36666 | The mother did not have an Aadhar card at the time of birth of many children. | 0.7661
,,,,,,36700 | There are two children here who do not have Aadhar cards. Another three. | 0.8885
,,,,,,36703 | There were mistakes in the Aadhar cards of some children. | 0.844
,,,,,,36720 | Some problems with Aadhar card | 0.8649
,,,,,,36726 | The boy and girl did not have Aadhar cards. | 0.7991
,,,,,,"36726 | We are poor and have no money, how can we make Aadhar card? | 0.7722"
,,,,,,"36728 | There are two children whose parents do not pay attention to them, due to which their Aadhar card has not been made. | 0.7884"
,,,,,,36775 | 2 children did not have Aadhar card. | 0.8175
,,,,,,36791 | That many children have got admission by making Aadhar card. | 0.8256
,,,,,,"36800 | 5 children do not have Aadhar card, hence they are not able to get anything good in future. | 0.8082"
,,,,,,36812 | Parents said that our children do not have Aadhar card. | 0.8293
,,,,,,36828 | Two children do not have Aadhar card. | 0.8124
,,,,,,"36846 | Aadhar cards of 5 children have not been made. The community is saying that the children have grown up and the problem has increased, hence we are not able to get them made. | 0.8701"
,,,,,,36856 | Aadhaar card problems prevent children from accessing necessary services and benefits. | 0.806
,,,,,,36876 | Aadhar card of 6 children has not been made. | 0.8271
,,,,,,36901 | There is a problem with Aadhar card and date of birth. | 0.8417
,,,,,,36931 | Problem in making Aadhar card due to lack of Janampatri | 0.7816
,,,,,,"36943 | Gudiya Devi said, we have got Aadhar cards made for our children ourselves, bring out your constitution. | 0.7688"
,,,,,,"36947 | Rekha Devi said, I get my children's Aadhar card made again and again but it is not made, so I said that you try to get it made, it will be made. | 0.818"
,,,,,,"36964 | Gudiya Devi has told that she had not filled the Aadhar card of her children many times, yet she got it made by taking out the Constitution herself. | 0.7085"
,,,,,,"36964 | Rekha Devi repeatedly asked Prashanti to make her Aadhar card, we told her to try and it will be made. | 0.6289"
,,,,,,36979 | Aadhar cards of some children have not been made. | 0.8763
,,,,,,36986 | Everyone there has Aadhar card. | 0.8285
,,,,,,36992 | The parents of the children said that the boy and the girl do not have Aadhar cards. | 0.8765
,,,,,,36995 | The parents of the child say that the Aadhar cards of the boy and the girl have been made. | 0.7985
,,,,,,37000 | One child has an Aadhar card with a wrong name. | 0.8211
,,,,,,37002 | Two children do not have Aadhar cards. | 0.8081
,,,,,,37020 | He said that if we have not been able to make Aadhar card for our child then what should be done. | 0.8466
,,,,,,37040 | The name is not being written on the Aadhar card due to the presence of more dates. | 0.7808
,,,,,,37040 | Name is not being written on Aadhar card due to old age | 0.7948
,,,,,,37042 | Discussion took place regarding making Aadhar card | 0.8222
,,,,,,37071 | Reasons for excess age in Aadhar card | 0.7176
,,,,,,37120 | Name correction is not happening in Aadhaar card. | 0.7213
,,,,,,37131 | Aadhar card problem | 0.8755
,,,,,,"37208 | The community faces challenges in obtaining birth certificates for children, which hinders their admission to schools. | 0.3594"
,,,,,,37217 | The Aadhar card of some children there is wrong. | 0.874
,,,,,,37220 | It is not happening due to lack of Aadhar card | 0.7915
,,,,,,"37250 | Aadhar cards of many children were not made, some sister said that it will be made in 2 to 3 days. | 0.7801"
,,,,,,37256 | The problem of children's Aadhar card has been resolved. | 0.9053
,,,,,,37258 | I am unable to register my children's names as they do not have Aadhaar. | 0.7139
,,,,,,37260 | No Aadhar card for two children | 0.841
,,,,,,"37265 | A woman from the community decided that the age of my children is higher than what is recorded in the Aadhar card, due to which the child is not able to make pickle. | 0.748"
,,,,,,37272 | Names of some people are not in the ration card. | 0.4844
,,,,,,37282 | The village tola sevak said that he would get the children's Aadhar cards made by meeting the Vikas Mitra and they would get admission in the school. | 0.6062
,,,,,,37282 | The Vikas Mitra there has advised to make Aadhar cards for the children. | 0.7494
,,,,,,37282 | There has been talk of getting Aadhar card made from the block. | 0.8011
,,,,,,37296 | Two children do not have Aadhar card | 0.8433
,,,,,,37302 | Aadhar card problem | 0.8755
,,,,,,37310 | Four children did not have Aadhar Card | 0.8535
,,,,,,37324 | Aadhar card problems are affecting the community. | 0.8356
,,,,,,37330 | Problems with Aadhar card | 0.8579
,,,,,,37409 | Challenge related to Aadhar card | 0.8438
,,,,,,37435 | Aadhar card and date of birth problem | 0.7905
,,,,,,37484 | There are challenges related to making Aadhar Cards and Birth Certificates. | 0.8304
,,,,,,37485 | Aadhar card not being made | 0.8443
,,,,,,"37494 | Issues with Aadhar cards are preventing children from being registered, and there is a need for correction and proper documentation. | 0.8703"
,,,,,,37506 | Lack of Aadhar cards. | 0.852
,,,,,,37511 | The community faces issues with obtaining Aadhar cards for children. | 0.9028
,,,,,,37535 | One of Dilip Shah's sons did not have an Aadhaar card. | 0.691
,,,,,,37541 | Reasons why children do not have Aadhar Cards | 0.8697
,,,,,,37568 | The children of Azad Bigha do not have Aadhar card. | 0.7541
,,,,,,37581 | Anshika Anshika Kumari had a challenge related to Aadhar card | 0.705
,,,,,,37587 | Discussion on making Aadhar card | 0.8309
,,,,,,37603 | Aadhar Card is not for two children there | 0.8589
,,,,,,37610 | Due to some children not having Aadhar card | 0.9041
,,,,,,37612 | Could not get Aadhar card made due to problem in making it. | 0.8827
,,,,,,37617 | You were a child who was not nominated at the age of | 0.2227
,,,,,,37638 | There is an 8 year old boy. Problem with Aadhar card of a two year old boy. | 0.8265
,,,,,,37657 | Two children do not have an Aadhar card. | 0.8133
,,,,,,37658 | Some people were facing problems in getting Aadhar card made. | 0.8865
,,,,,,"37681 | The mother of this child told that his horoscope is handwritten, hence his Aadhar card is not being made. | 0.778"
,,,,,,37682 | There are 10 children in the Anganwadi here. Five of the children do not have Aadhar card and date of birth. | 0.7488
,,,,,,"37683 | Children do not have Aadhar cards, and there is uncertainty about where and how to obtain them. | 0.8689"
,,,,,,37686 | Aadhar card nahi he | 0.7822
,,,,,,37688 | Some community members are struggling to obtain an Aadhar card. | 0.8333
,,,,,,"37723 | Three children do not have Aadhar cards, and one has a missing finger. | 0.7861"
,,,,,,"37738 | The children's mother said that our children do not have Aadhar card, hence no | 0.8585"
,,,,,,37741 | The community faces a challenge of children not having an Aadhar card. | 0.8512
,,,,,,37749 | Naming due to lack of Aadhar card of the child. | 0.8051
,,,,,,"37751 | Due to wrong name in Aadhar card, children are facing problem in writing the name and reading further. | 0.795"
,,,,,,"37765 | I don't have an Aadhar card, that's why I don't go to school. | 0.7895"
,,,,,,37786 | Aadhar card | 0.8735
,,,,,,37806 | Do not have Aadhar card | 0.8406
,,,,,,37810 | Don't have Aadhar card | 0.8464
,,,,,,37841 | Discussion on not having Aadhar card and not having Aadhar card | 0.7832
,,,,,,37844 | It was told that there was discussion on Aadhar cards of children. | 0.8131
,,,,,,"37858 | The birth certificate of this child's parents is handwritten, hence their name is not written in it, due to which Aadhar card is not being made. | 0.8153"
,,,,,,37863 | Sangeeta Devi said we corrected our Aadhaar cards ourselves. | 0.6805
,,,,,,"37877 | This child has Aadhar card, but due to mistake in the horoscope his name is not getting registered in class 9th. | 0.7955"
,,,,,,"37877 | The mother of this child told that since the horoscope of this child is written by hand, the Aadhar card is not being made, and due to this reason his name is also not being written. | 0.8338"
,,,,,,37878 | Aadhar card was made but not received. | 0.8599
,,,,,,"37890 | Due to wrong date of birth in the Aadhar card of this child, his name is not being registered in Intermediate. | 0.7803"
,,,,,,"37890 | This child does not have an Aadhar card, the horoscope is handwritten, hence his name is not being written. | 0.8042"
,,,,,,"37891 | The child's Aadhar card has not been made, hence all the child's work is getting hampered. | 0.8565"
,,,,,,37898 | A woman in the community needs to correct her Aadhar card. | 0.7554
,,,,,,37914 | A sister said that the people who go to get their Aadhar card corrected are not even aware of it. | 0.7657
,,,,,,"37931 | A family has four children, out of which one girl has just passed 10th and she does not even have an Aadhar card from Anganwadi | 0.7936"
,,,,,,37940 | Decisions taken to improve daughters' Aadhar card | 0.7989
,,,,,,37964 | To make corrections in Aadhar card | 0.788
,,,,,,"37965 | The community shared that there was not much problem with the children in any way, but one problem was with Didi, she said about herself that our place is not built on Aadhar. | 0.6689"
,,,,,,37971 | It was told in the discussion that if the Aadhar card is not made then get it made as soon as possible. | 0.8118
,,,,,,37972 | To make corrections in Aadhar card | 0.788
,,,,,,37973 | There are also problems with incorrect names on existing Aadhar cards. | 0.8239
,,,,,,37976 | All the people of Bindara Tola said that there is a problem with Pooja Kumari's Aadhar Card. | 0.66
,,,,,,37988 | There are four children here whose Aadhar cards have not been made. | 0.8559
,,,,,,38006 | The community faces challenges in obtaining Aadhar cards. | 0.8585
,,,,,,"38028 | Shailendra Singh, age 25, has a mistake in his Aadhar card. | 0.6902"
,,,,,,38047 | Due to poverty some parents do not have Aadhar cards. | 0.8562
,,,,,,38057 | Children from poor families do not have Aadhar cards. | 0.7815
,,,,,,"38097 | The lack of Aadhar Cards is creating problems for education, and some individuals are exploiting this by charging money to make Aadhar Cards. | 0.8043"
,,,,,,38102 | The community shared regarding non-availability of Aadhar card for children | 0.9085
,,,,,,38117 | Charges for making Aadhar card. | 0.7666
,,,,,,38121 | There are 6 children whose Aadhar cards have not been made. | 0.8565
,,,,,,38130 | Children sang the song 'Bhole's Aadhar Card' and the children's father said that he does not have an Aadhar card. | 0.718
,,,,,,38155 | The names of two children are not registered in the Aadhar card. | 0.8041
,,,,,,38161 | Some children are unable to register their names due to lack of Aadhaar. | 0.752
,,,,,,38201 | The community faces challenges in obtaining Aadhar cards for children. | 0.8945
,,,,,,38217 | Aadhar card problem | 0.8755
,,,,,,"38237 | There was a problem with the Aadhar card, due to which those people were not admitted. | 0.8293"
,,,,,,38240 | The community faces a challenge of not having an Aadhar card. | 0.8503
,,,,,,38244 | The community faces a challenge of not having birth certificates and Aadhar cards for their children. | 0.8013
,,,,,,38245 | There is a problem in the Aadhar of some children | 0.8431
,,,,,,38249 | The community faces challenges in obtaining birth certificates and Aadhar cards for children. | 0.814
,,,,,,38293 | The problem of Aadhar card was explained there. | 0.8602
,,,,,,38303 | Nisha Kumari's name is not in the ration card | 0.4511
,,,,,,38325 | The community faces challenges in improving Aadhar cards for children. | 0.8806
,,,,,,38336 | Some children's names are not in the ration card | 0.5174
,,,,,,38339 | No Aadhar card for two children. | 0.855
,,,,,,"38341 | There are some fathers who win or lose money by gambling but do not pay attention to their child’s Aadhar card, birth certificate, TC etc. | 0.6158"
,,,,,,"38343 | If four children do not have Aadhar card, they cannot go to get water. | 0.7231"
,,,,,,"38348 | The song of Lalan Majhi Sawarti Devi Hazari Majhi Jewellers Devi was that no one gets Aadhar card made here, no one gets horoscope made, that is why we are poor, from where will we get it made, we do not have money, we will not be able to get it made. | 0.6068"
,,,,,,38350 | Aadhaar card is not made for some community members. | 0.7355
,,,,,,38417 | No Aadhar card for two children | 0.841
,,,,,,38437 | Aadhar problem | 0.7782
,,,,,,38438 | To make corrections in Aadhar card | 0.788
,,,,,,38459 | The community faces issues with obtaining Aadhaar cards for children. | 0.828
,,,,,,38463 | Aadhar problem | 0.7782
,,,,,,38466 | The community faces issues with obtaining Aadhar cards for children. | 0.9028
,,,,,,38509 | Aadhar card problem | 0.8755
,,,,,,38547 | A boy needs to get his Aadhar card corrected. | 0.8347
,,,,,,38549 | There are many such Vazia which are not Aadhar Card | 0.7203
,,,,,,"38551 | Aadhar card is not made, they do not want to make Aadhar card. | 0.8285"
,,,,,,38564 | A boy needs to get his Aadhar card corrected. | 0.8347
,,,,,,38679 | Parents said that our children do not have Aadhar card | 0.8467
,,,,,,38728 | Those who have four children have not even got their Aadhar card made. | 0.8431
,,,,,,38731 | Many children do not have Aadhar Cards. | Two boys were compartmentalized in Matriculation
,,,,,,38734 | Reasons for not having Aadhar card | 0.839
,,,,,,"38736 | Six children of Manjhi Basti here do not have Aadhar card, and there is talk of getting Aadhar card made for them by talking to Vikas Mitra. | 0.7355"
,,,,,,38750 | Due to name mistake in Aadhar card | 0.8007
,,,,,,38751 | Aadhar card | 0.8735
,,,,,,38751 | No Aadhar Card | 0.8703
,,,,,,"38765 | After updating the Aadhaar card and opening the account, you will have to register your name. | because of the poor"
,,,,,,38774 | The community faces issues with correcting errors in the Aadhar cards of girl children. | 0.7907
,,,,,,38780 | Aadhar card for children | 0.8786
,,,,,,38786 | The community faces issues with correcting children's Aadhar cards. | 0.8746
,,,,,,38791 | Many children in Manjhi Tola do not have Aadhar cards. | 0.7593
,,,,,,38802 | Parents said that Aadhar cards are not being made for their children. | 0.8545
,,,,,,"38810 | Many elders of Mahadalit Mental Health families do not have Aadhar card and their children do not have Aadhar card and birth certificate, hence it is very important to get their cards made. | 0.7206"
,,,,,,38812 | The community is facing issues with children’s admission due to the lack of Aadhar cards. | 0.8756
